СПИСОК УЧЕТНЫХ ЗАПИСЕЙ МЧС ПОРТАЛА
====================================
Общий пароль для всех: test123

ЛОГИН | РОЛЬ | РЕГИОН | ФИО
------------------------------------
admin | admin | - | Администратор системы
dchs_abay | DCHS | Область Абай | ДЧС области Абай
dchs_akmola | DCHS | Акмолинская область | ДЧС Акмолинской области
dchs_aktobe | DCHS | Актюбинская область | ДЧС Актюбинской области
dchs_almaty | DCHS | г. Алматы | ДЧС города Алматы
dchs_almaty_obl | DCHS | Алматинская область | ДЧС Алматинской области
dchs_astana | DCHS | г. Астана | ДЧС города Астана
dchs_atyrau | DCHS | Атырауская область | ДЧС Атырауской области
dchs_karaganda | DCHS | Карагандинская область | ДЧС Карагандинской области
dchs_kostanay | DCHS | Костанайская область | ДЧС Костанайской области
dchs_kyzylorda | DCHS | Кызылординская область | ДЧС Кызылординской области
dchs_mangystau | DCHS | Мангистауская область | ДЧС Мангистауской области
dchs_pavlodar | DCHS | Павлодарская область | ДЧС Павлодарской области
dchs_shymkent | DCHS | г. Шымкент | ДЧС города Шымкент
dchs_sko | DCHS | Северо-Казахстанская область | ДЧС СКО
dchs_turkestan | DCHS | Туркестанская область | ДЧС Туркестанской области
dchs_ulytau | DCHS | Область Ұлытау | ДЧС области Ұлытау
dchs_vko | DCHS | Восточно-Казахстанская область | ДЧС ВКО
dchs_zhambyl | DCHS | Жамбылская область | ДЧС Жамбылской области
dchs_zhetisu | DCHS | Область Жетісу | ДЧС области Жетісу
dchs_zko | DCHS | Западно-Казахстанская область | ДЧС ЗКО
mchs | MCHS | - | МЧС Республики Казахстан
ochs_abay_10 | OCHS | Область Абай | ОЧС района Маканшы
ochs_abay_11 | OCHS | Область Абай | ОЧС района Жанасемей
ochs_abay_12 | OCHS | Область Абай | ОЧС Урджарского района
ochs_abay_2 | OCHS | Область Абай | ОЧС Абайского района
ochs_abay_3 | OCHS | Область Абай | ОЧС района Аксуат
ochs_abay_4 | OCHS | Область Абай | ОЧС Аягозского района
ochs_abay_5 | OCHS | Область Абай | ОЧС Бескарагайского района
ochs_abay_6 | OCHS | Область Абай | ОЧС Бородулихинского района
ochs_abay_7 | OCHS | Область Абай | ОЧС Жарминского района
ochs_abay_8 | OCHS | Область Абай | ОЧС Кокпектинского района
